company_name,detected_ats,slug_used,jobs_found,careers_url,probe_time_ms,status
Cleartrip,freshteam,cleartrip,-1,https://cleartrip.freshteam.com/jobs,2296,found
Ather Energy,freshteam,ather-energy,-1,https://ather-energy.freshteam.com/jobs,2529,found
Ola Electric,freshteam,ola-electric,-1,https://ola-electric.freshteam.com/jobs,3417,found
Simple Energy,freshteam,simple-energy,-1,https://simple-energy.freshteam.com/jobs,4736,found
Bounce,ashby,bounce,11,https://jobs.ashbyhq.com/bounce,3739,found
Yulu,freshteam,yulu,-1,https://yulu.freshteam.com/jobs,5043,found
BluSmart,freshteam,blusmart,-1,https://blusmart.freshteam.com/jobs,5554,found
Freshworks,smartrecruiters,freshworks,27,https://careers.smartrecruiters.com/freshworks,5466,found
Zoho Corporation,freshteam,zoho-corporation,-1,https://zoho-corporation.freshteam.com/jobs,6879,found
Postman,greenhouse,postman,111,https://job-boards.greenhouse.io/postman,1087,found
BrowserStack,freshteam,browserstack,-1,https://browserstack.freshteam.com/jobs,1459,found
Chargebee,freshteam,chargebee,-1,https://chargebee.freshteam.com/jobs,2649,found
Druva,greenhouse,druva,28,https://job-boards.greenhouse.io/druva,1762,found
Icertis,freshteam,icertis,-1,https://icertis.freshteam.com/jobs,5330,found
Whatfix,smartrecruiters,whatfix,1,https://careers.smartrecruiters.com/whatfix,4298,found
Zenoti,greenhouse,zenoti,65,https://job-boards.greenhouse.io/zenoti,5365,found
MindTickle,lever,mindtickle,28,https://jobs.lever.co/mindtickle,9300,found
Sprinklr,freshteam,sprinklr,-1,https://sprinklr.freshteam.com/jobs,7608,found
Hasura,,,0,,0,not_found
Appsmith,freshteam,appsmith,-1,https://appsmith.freshteam.com/jobs,3810,found
Requestly,freshteam,requestly,-1,https://requestly.freshteam.com/jobs,4587,found
DronaHQ,freshteam,dronahq,-1,https://dronahq.freshteam.com/jobs,5361,found
Clarisights,ashby,clarisights,2,https://jobs.ashbyhq.com/clarisights,4619,found
Suprsend,freshteam,suprsend,-1,https://suprsend.freshteam.com/jobs,10325,found
Plivo,freshteam,plivo,-1,https://plivo.freshteam.com/jobs,11001,found
Exotel,freshteam,exotel,-1,https://exotel.freshteam.com/jobs,12235,found
Kaleyra,freshteam,kaleyra,-1,https://kaleyra.freshteam.com/jobs,13853,found
Route Mobile,greenhouse,route,6,https://job-boards.greenhouse.io/route,3977,found
Gupshup,freshteam,gupshup,-1,https://gupshup.freshteam.com/jobs,15769,found
Yellow.ai,freshteam,yellowai,-1,https://yellowai.freshteam.com/jobs,892,found
Haptik,freshteam,haptik,-1,https://haptik.freshteam.com/jobs,1621,found
Verloop,freshteam,verloop,-1,https://verloop.freshteam.com/jobs,2361,found
Uniphore,freshteam,uniphore,-1,https://uniphore.freshteam.com/jobs,2963,found
Darwinbox,freshteam,darwinbox,-1,https://darwinbox.freshteam.com/jobs,3588,found
Keka HR,freshteam,keka-hr,-1,https://keka-hr.freshteam.com/jobs,3675,found
greytHR,freshteam,greythr,-1,https://greythr.freshteam.com/jobs,4742,found
Razorpay Payroll,freshteam,razorpay-payroll,-1,https://razorpay-payroll.freshteam.com/jobs,5437,found
HRMantra,freshteam,hrmantra,-1,https://hrmantra.freshteam.com/jobs,5643,found
Kredily,freshteam,kredily,-1,https://kredily.freshteam.com/jobs,6521,found
Springworks,freshteam,springworks,-1,https://springworks.freshteam.com/jobs,1453,found
Leadsquared,freshteam,leadsquared,-1,https://leadsquared.freshteam.com/jobs,1724,found
CleverTap,freshteam,clevertap,-1,https://clevertap.freshteam.com/jobs,1872,found
WebEngage,freshteam,webengage,-1,https://webengage.freshteam.com/jobs,2838,found
MoEngage,freshteam,moengage,-1,https://moengage.freshteam.com/jobs,3322,found
Netcore Cloud,freshteam,netcore-cloud,-1,https://netcore-cloud.freshteam.com/jobs,4093,found
Wigzo,freshteam,wigzo,-1,https://wigzo.freshteam.com/jobs,4445,found
Zarget,freshteam,zarget,-1,https://zarget.freshteam.com/jobs,4762,found
VWO (Wingify),freshteam,vwo-wingify,-1,https://vwo-wingify.freshteam.com/jobs,5798,found
Helpshift,freshteam,helpshift,-1,https://helpshift.freshteam.com/jobs,5762,found
Freshdesk,freshteam,freshdesk,-1,https://freshdesk.freshteam.com/jobs,1325,found
Zoho Desk,freshteam,zoho-desk,-1,https://zoho-desk.freshteam.com/jobs,2236,found
Interakt,freshteam,interakt,-1,https://interakt.freshteam.com/jobs,2561,found
DelightChat,freshteam,delightchat,-1,https://delightchat.freshteam.com/jobs,3400,found
Limechat,freshteam,limechat,-1,https://limechat.freshteam.com/jobs,4659,found
Tidio,freshteam,tidio,-1,https://tidio.freshteam.com/jobs,4965,found
Eka Software,freshteam,eka-software,-1,https://eka-software.freshteam.com/jobs,5411,found
Facilio,freshteam,facilio,-1,https://facilio.freshteam.com/jobs,6313,found
Netmeds Technology,freshteam,netmeds-technology,-1,https://netmeds-technology.freshteam.com/jobs,6712,found
Kissflow,freshteam,kissflow,-1,https://kissflow.freshteam.com/jobs,7180,found
ProcessMaker,freshteam,processmaker,-1,https://processmaker.freshteam.com/jobs,1071,found
Kissflow Procurement,freshteam,kissflow-procurement,-1,https://kissflow-procurement.freshteam.com/jobs,1804,found
Eqvista,freshteam,eqvista,-1,https://eqvista.freshteam.com/jobs,2464,found
Paperflite,freshteam,paperflite,-1,https://paperflite.freshteam.com/jobs,3750,found
Vymo,freshteam,vymo,-1,https://vymo.freshteam.com/jobs,4743,found
Kapture CRM,freshteam,kapture-crm,-1,https://kapture-crm.freshteam.com/jobs,4910,found
Salesken,freshteam,salesken,-1,https://salesken.freshteam.com/jobs,5859,found
Slintel,freshteam,slintel,-1,https://slintel.freshteam.com/jobs,7035,found
Toplyne,freshteam,toplyne,-1,https://toplyne.freshteam.com/jobs,7421,found
Factors.ai,freshteam,factorsai,-1,https://factorsai.freshteam.com/jobs,8222,found
Peoplebox,freshteam,peoplebox,-1,https://peoplebox.freshteam.com/jobs,6539,found
Betterplace,freshteam,betterplace,-1,https://betterplace.freshteam.com/jobs,13766,found
Apna,workable,apna,10,https://apply.workable.com/apna/,4169,found
Internshala,freshteam,internshala,-1,https://internshala.freshteam.com/jobs,17507,found
iMocha,freshteam,imocha,-1,https://imocha.freshteam.com/jobs,21574,found
Mercer Mettl,smartrecruiters,mercermettl,8,https://careers.smartrecruiters.com/mercermettl,16258,found
HackerEarth,freshteam,hackerearth,-1,https://hackerearth.freshteam.com/jobs,23863,found
HackerRank,greenhouse,hackerrank,44,https://job-boards.greenhouse.io/hackerrank,22666,found
Interview Mocha,smartrecruiters,interviewmocha,4,https://careers.smartrecruiters.com/interviewmocha,6351,found
Unstop,recruitee,unstop,1,https://unstop.recruitee.com/,25945,found
Skillate,smartrecruiters,skillate,10,https://careers.smartrecruiters.com/skillate,521,found
Hirist,freshteam,hirist,-1,https://hirist.freshteam.com/jobs,1347,found
Cutshort,freshteam,cutshort,-1,https://cutshort.freshteam.com/jobs,2073,found
Belong,lever,belong,44,https://jobs.lever.co/belong,3550,found
Atlassian,teamtailor,atlassian,-1,https://atlassian.teamtailor.com/,4447,requires_key
Salesforce India,recruitee,salesforce,1,https://salesforce.recruitee.com/,3056,found
Adobe India,teamtailor,adobe,-1,https://adobe.teamtailor.com/,3867,requires_key
Microsoft India,freshteam,microsoft-india,-1,https://microsoft-india.freshteam.com/jobs,5410,found
Google India,bamboohr,google,4,https://google.bamboohr.com/careers,4071,found
Amazon India,personio,amazon,3,https://amazon.jobs.personio.de/,1537,found
Meta India,bamboohr,meta,4,https://meta.bamboohr.com/careers,10676,found
Apple India,freshteam,apple-india,-1,https://apple-india.freshteam.com/jobs,6752,found
IBM India,recruitee,ibm,1,https://ibm.recruitee.com/,10051,found
Cisco India,freshteam,cisco-india,-1,https://cisco-india.freshteam.com/jobs,10599,found
VMware India,freshteam,vmware-india,-1,https://vmware-india.freshteam.com/jobs,14793,found
Nutanix,freshteam,nutanix,-1,https://nutanix.freshteam.com/jobs,15168,found
ServiceNow India,smartrecruiters,servicenow,473,https://careers.smartrecruiters.com/servicenow,5788,found
Workday India,teamtailor,workday,-1,https://workday.teamtailor.com/,15264,requires_key
Palo Alto Networks India,freshteam,palo-alto-networks-india,-1,https://palo-alto-networks-india.freshteam.com/jobs,19713,found
