ats,tenant,url,jobs
darwinbox,talentsprint,https://talentsprint.darwinbox.in,0
darwinbox,unacademy,https://unacademy.darwinbox.in,7
darwinbox,uemsunrise,https://uemsunrise.darwinbox.com,2
darwinbox,urbanpiper,https://urbanpiper.darwinbox.in,0
darwinbox,upstox,https://upstox.darwinbox.in,14
darwinbox,vivriti,https://vivriti.darwinbox.in,13
darwinbox,tokopedia,https://tokopedia.darwinbox.com,0
darwinbox,vjpeoplefirst,https://vjpeoplefirst.darwinbox.in,14
darwinbox,ujjivanhrsaathi,https://ujjivanhrsaathi.darwinbox.in,100
darwinbox,veritaz,https://veritaz.darwinbox.in,0
darwinbox,va-team,https://va-team.darwinbox.com,0
darwinbox,tv9,https://tv9.darwinbox.in,1
darwinbox,vymopeopleconnect,https://vymopeopleconnect.darwinbox.in,11
darwinbox,wcl,https://wcl.darwinbox.in,5
darwinbox,tresvista,https://tresvista.darwinbox.in,0
darwinbox,vhr,https://vhr.darwinbox.in,14
darwinbox,training2,https://training2.darwinbox.in,8
darwinbox,y-axis,https://y-axis.darwinbox.in,8
darwinbox,wakefit,https://wakefit.darwinbox.in,1
darwinbox,yotta,https://yotta.darwinbox.in,17
darwinbox,wego,https://wego.darwinbox.com,6
darwinbox,zeta,https://zeta.darwinbox.in,0
darwinbox,yashoda,https://yashoda.darwinbox.in,1
darwinbox,zopper,https://zopper.darwinbox.in,0
darwinbox,zoomrx,https://zoomrx.darwinbox.in,0
darwinbox,vikramsolar,https://vikramsolar.darwinbox.in,1
darwinbox,yesforyou,https://yesforyou.darwinbox.in,100
darwinbox,visteon-panorama,https://visteon-panorama.darwinbox.com,100
darwinbox,zydushospital,https://zydushospital.darwinbox.in,100
darwinbox,zydusgroup,https://zydusgroup.darwinbox.in,48
darwinbox,wellnessforever,https://wellnessforever.darwinbox.in,13
darwinbox,spoc,https://spoc.darwinbox.com,86
darwinbox,xceedance,https://xceedance.darwinbox.in,10
darwinbox,zeemedia,https://zeemedia.darwinbox.in,0
darwinbox,ysl,https://ysl.darwinbox.in,19
darwinbox,tessolve,https://tessolve.darwinbox.com,44
