company,ats,slug,endpoint,platform_label,careers_url,file
Gates Foundation,workday,gatesfoundation,gatesfoundation.wd1.myworkdayjobs.com,Workday,https://gatesfoundation.wd1.myworkdayjobs.com/Gates?source=gatesfoundation.org,gates_foundation.md
GE HealthCare,workday,gehc,gehc.wd5.myworkdayjobs.com,Phenom,https://careers.gehealthcare.com/global/en/search-results,ge_healthcare.md
GE Vernova,paradox,,,Paradox,https://careers.gevernova.com/jobs,ge_vernova.md
Generalist AI,,,,,https://generalistai.com/careers,generalist_ai.md
Giga,ashby,gigaml,jobs.ashbyhq.com/gigaml,Ashby,https://giga.ai/careers#3-list,giga.md
Gilead,workday,gilead,gilead.wd1.myworkdayjobs.com,Workday,https://www.gilead.com/careers/opportunities-,gilead.md
GitHub,,,,,,github.md
GM Financial,,,,,https://www.gmfinancial.com/en-us/about-us/careers.html,gm_financial.md
Guidewire,,guidewire,,Workday,https://www.guidewire.com/careers,guidewire.md
HackerOne,,hackerone,,Ashby,https://www.hackerone.com/careers,hackerone.md
HappyRobot,ashby,happyrobot.ai,api.ashbyhq.com/posting-api/job-board/happyrobot.ai,Ashby,https://happyrobot.ai/careers,happyrobot.md
Hark,greenhouse,hark,job-boards.greenhouse.io/hark,,https://hark.com/careers,hark.md
Harmonic,ashby,Harmonic,api.ashbyhq.com/posting-api/job-board/Harmonic,Ashby,https://jobs.ashbyhq.com/Harmonic,harmonic.md
Highnote,greenhouse,highnote,boards-api.greenhouse.io/v1/boards/highnote,Greenhouse,https://highnote.com/careers,highnote.md
Hightouch,greenhouse,hightouch,boards-api.greenhouse.io/v1/boards/hightouch,Greenhouse,https://hightouch.com/careers,hightouch.md
Hinge Health,ashby,hinge-health,api.ashbyhq.com/posting-api/job-board/hinge-health,Ashby,https://www.hingehealth.com/careers,hinge_health.md
Honeywell,oracle,,,Oracle Recruiting Cloud,https://careers.honeywell.com/en/sites/Honeywell/jobs?mode=location,honeywell.md
Honeywell Aerospace,oracle,,,Oracle Recruiting Cloud,https://icfcjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Aerospace/jobs?mode=location,honeywell_aerospace.md
Hewlett Packard Enterprise (HPE),workday,hpe,hpe.wd5.myworkdayjobs.com,Workday,https://careers.hpe.com/us/en/search-results,hpe.md
Hugging Face,workable,huggingface,apply.workable.com/huggingface,workable,https://apply.workable.com/huggingface/,hugging_face.md
